ballot_id,1,2,3,4,5
165,0,2,3,4,1
166,1,4,3,2,0
167,3,2,1,0,4
168,4,1,3,0,2
169,3,2,1,4,0
170,3,1,2,4,0
171,1,4,3,2,0
172,1,3,4,2,0
173,2,3,0,1,4
174,3,2,1,0,4
175,2,3,0,1,4
176,1,4,3,2,0
177,4,0,1,3,2
178,2,3,0,4,1
179,2,3,0,1,4
180,2,3,0,1,4
181,2,3,0,4,1
182,2,3,0,1,4
183,0,3,2,4,1
184,0,3,2,4,1
185,3,2,4,1,0
186,1,4,3,2,0
187,3,2,0,1,4
188,1,4,3,2,0
189,4,0,3,1,2
190,3,4,1,0,2
191,0,3,4,2,1
192,1,4,3,2,0
193,1,3,4,2,0
194,4,0,3,1,2
195,4,1,0,3,2
196,3,2,0,1,4
197,4,1,3,0,2
198,0,3,2,4,1
199,4,1,3,0,2
200,2,3,0,1,4
201,3,2,1,0,4
202,4,1,0,3,2
203,3,2,0,4,1
204,3,2,0,4,1
205,0,3,2,4,1
206,2,3,0,4,1
207,3,2,1,0,4
208,0,2,3,4,1
209,1,3,2,4,0
210,3,2,1,4,0
211,0,2,3,4,1
212,3,2,0,4,1
213,0,4,3,2,1
214,4,1,0,3,2
215,2,3,0,4,1
216,0,4,3,2,1
217,3,1,2,4,0
218,4,3,1,0,2
219,3,2,0,1,4
220,4,1,3,0,2
221,2,3,0,1,4
222,1,3,2,4,0
223,1,4,3,0,2
224,3,2,1,4,0
225,3,2,1,0,4
226,1,3,2,4,0
227,3,2,0,4,1
228,0,3,2,4,1
229,4,1,3,0,2
230,2,3,0,1,4
231,2,3,0,1,4
232,1,3,4,2,0
233,0,4,3,2,1
234,0,2,3,4,1
235,3,4,0,2,1
236,0,4,3,2,1
237,3,1,4,2,0
238,3,2,0,1,4
239,4,0,1,3,2
240,2,3,0,4,1
241,3,2,0,4,1
242,1,3,2,4,0
243,2,3,0,4,1
244,4,1,3,0,2
245,2,3,0,1,4
246,0,2,3,4,1
247,3,2,1,0,4
248,1,4,3,2,0
249,0,3,2,4,1
250,0,3,2,4,1
251,3,2,1,4,0
252,0,2,3,4,1
253,0,4,3,2,1
254,3,2,0,1,4
255,0,2,3,4,1
256,3,2,0,4,1
257,2,3,0,1,4
258,0,2,3,4,1
259,0,2,3,4,1
260,0,4,3,2,1
261,3,1,4,2,0
262,4,0,1,3,2
263,1,3,2,4,0
264,0,4,3,2,1
265,3,2,1,0,4
266,4,1,0,3,2
267,3,2,0,4,1
268,1,4,3,2,0
269,4,1,3,0,2
270,1,4,3,2,0
271,4,1,0,3,2
272,3,0,2,4,1
273,2,3,0,1,4
274,4,3,0,1,2
275,3,2,0,1,4
276,0,2,3,4,1
277,3,1,4,2,0
278,0,3,4,2,1
279,4,1,3,0,2
280,4,1,3,0,2
281,3,2,0,1,4
282,1,4,3,2,0
283,0,2,3,4,1
284,3,2,0,4,1
285,3,1,2,4,0
286,3,2,0,4,1
287,4,1,3,2,0
288,3,2,0,1,4
289,3,2,0,4,1
290,0,4,3,1,2
291,0,4,3,2,1
292,3,1,4,2,0
293,2,3,0,1,4
294,3,1,2,4,0
295,0,4,3,1,2
296,3,2,1,0,4
297,3,2,1,0,4
298,4,0,1,3,2
299,3,2,1,0,4
300,0,4,3,2,1
301,0,3,4,2,1
302,2,3,0,1,4
303,0,2,3,4,1
304,3,4,1,2,0
305,3,1,2,4,0
306,3,2,1,4,0
307,3,2,0,4,1
308,2,3,0,1,4
309,3,1,2,4,0
310,3,2,1,4,0
311,4,1,3,0,2
312,4,1,3,0,2
313,4,1,3,0,2
314,0,4,3,2,1
315,2,3,0,4,1
316,3,2,0,1,4
317,3,2,1,4,0
318,3,2,1,4,0
319,4,1,0,3,2
320,1,3,4,2,0
321,0,3,2,4,1
322,2,0,3,4,1
323,3,4,1,2,0
324,0,3,4,2,1
325,0,2,3,4,1
326,3,0,2,4,1
327,2,3,0,1,4
328,2,3,0,1,4
329,3,2,0,4,1
330,0,4,3,2,1
331,3,1,4,2,0
332,4,0,3,1,2
333,0,4,3,2,1
334,3,2,0,1,4
335,2,3,0,1,4
336,0,4,3,2,1
337,0,2,3,4,1
338,1,4,3,2,0
339,3,1,4,2,0
340,1,3,2,4,0
341,3,2,0,1,4
342,4,1,3,0,2
343,0,4,3,2,1
344,0,3,2,4,1
345,3,1,4,2,0
346,0,2,3,4,1
347,4,0,1,3,2
348,0,3,4,2,1
349,4,1,3,0,2
350,2,3,0,1,4
351,3,1,2,4,0
352,3,1,2,4,0
353,3,2,1,0,4
354,1,3,4,2,0
355,1,4,3,2,0
356,2,3,0,4,1
357,3,0,4,2,1
358,0,3,4,2,1
359,1,3,2,4,0
360,4,0,1,3,2
361,0,2,3,4,1
362,4,1,3,0,2
363,4,0,3,1,2
364,2,0,3,4,1
365,4,1,3,0,2
366,3,2,0,4,1
367,1,3,4,2,0
368,1,4,3,2,0
369,0,2,3,4,1
370,3,2,1,0,4
371,2,3,0,1,4
372,0,2,3,4,1
373,0,3,2,4,1
374,1,4,3,2,0
375,0,4,3,2,1
376,3,4,1,0,2
377,3,2,1,0,4
378,1,3,2,4,0
379,0,4,3,2,1
380,3,2,0,4,1
381,3,2,1,0,4
382,4,1,3,2,0
383,1,4,3,2,0
384,0,2,3,4,1
385,3,1,2,4,0
386,2,3,0,1,4
387,0,2,3,4,1
388,0,4,3,2,1
389,4,3,1,0,2
390,3,2,0,1,4
391,4,0,3,1,2
392,0,2,3,4,1
393,1,3,4,2,0
394,4,0,1,3,2
395,3,2,1,4,0
396,1,3,4,2,0
397,4,1,0,3,2
398,3,4,1,2,0
399,0,2,3,4,1
400,2,3,0,1,4
401,2,3,0,1,4
402,3,2,0,4,1
403,1,3,4,2,0
404,3,2,1,0,4
405,1,4,3,2,0
406,3,0,2,4,1
407,3,2,1,0,4
408,1,3,4,2,0
409,4,1,3,0,2
410,3,2,1,0,4
411,3,2,0,1,4
412,1,4,3,0,2
413,0,3,2,4,1
414,3,2,1,4,0
415,3,1,4,2,0
416,1,4,3,0,2
417,0,2,3,4,1
418,0,4,3,2,1
419,2,3,0,4,1
420,1,4,3,2,0
421,1,4,3,2,0
422,3,0,2,4,1
423,3,2,0,4,1
424,4,1,3,0,2
425,2,3,0,1,4
426,0,2,3,4,1
427,4,0,1,3,2
428,1,4,3,2,0
429,4,1,0,3,2
430,0,4,3,2,1
431,0,3,2,4,1
432,2,3,0,1,4
433,1,4,3,2,0
434,1,3,4,2,0
435,0,3,2,4,1
436,3,2,0,1,4
437,3,2,1,4,0
438,2,3,0,4,1
439,3,1,2,4,0
440,3,2,1,4,0
441,3,2,1,0,4
442,3,2,0,1,4
443,3,2,1,4,0
444,3,2,0,1,4
445,3,2,0,1,4
446,0,3,2,4,1
447,3,2,0,4,1
448,3,2,0,1,4
449,3,2,0,4,1
450,4,1,3,0,2
451,1,4,3,2,0
452,3,0,2,4,1
453,2,3,0,1,4
454,3,2,0,1,4
455,4,1,3,0,2
456,3,2,0,4,1
457,0,4,3,2,1
458,3,2,0,1,4
459,1,3,4,2,0
460,1,4,3,2,0
461,3,2,0,1,4
462,2,3,0,4,1
463,1,3,4,2,0
464,1,3,2,4,0
465,0,3,2,4,1
466,2,3,0,4,1
467,0,2,3,4,1
468,3,1,4,2,0
469,3,2,1,4,0
470,0,4,3,2,1
471,3,0,2,4,1
472,3,4,0,1,2
473,2,3,0,1,4
474,3,2,0,4,1
475,0,3,2,4,1
476,0,2,3,4,1
477,3,1,2,4,0
478,1,3,4,2,0
479,4,1,3,0,2
480,2,3,1,0,4
481,1,4,3,0,2
482,3,2,1,0,4
483,3,4,0,2,1
484,0,3,2,4,1
485,2,3,0,1,4
486,2,3,0,1,4
487,1,4,3,2,0
488,2,3,1,0,4
489,1,4,3,2,0
490,2,0,3,4,1
491,3,1,4,2,0
492,0,3,2,4,1
493,1,4,3,2,0
494,3,2,0,4,1
495,0,3,2,4,1
496,3,2,0,1,4
497,3,2,1,4,0
498,3,2,0,1,4
499,2,3,0,1,4
